Time,DO,C measured [mg/l]
0,7.991047928,7.991047928
0.003472222,8.094972936,8.044381261
0.006944444,8.191733725,8.074381261
0.010416667,8.288729965,8.094381261
0.013888889,8.383176863,8.112714595
0.017361111,8.468403007,8.129381261
0.020833333,8.549915484,8.141047928
0.024305556,8.629061895,8.157714595
0.027777778,8.70645372,8.169381261
0.03125,8.790557296,8.181047928
0.034722222,8.864011292,8.192714595
0.038194444,8.938314474,8.199381261
0.041666667,9.019546554,8.206047928
0.045138889,9.094565596,8.209381261
0.048611111,9.162515773,8.221047928
0.052083333,9.226764416,8.222714595
0.055555556,9.288759299,8.231047928
0.059027778,9.341066112,8.234381261
0.0625,9.345676562,8.246047928
0.065972222,9.349496866,8.251047928
0.069444444,9.353439632,8.261047928
0.072916667,9.356763563,8.274381261
0.076388889,9.360332271,8.284381261
0.079861111,9.363695651,8.296047928
0.083333333,9.366596375,8.306047928
0.086805556,9.369072404,8.329381261
0.090277778,9.371120416,8.349381261
0.09375,9.372986599,8.369381261
0.097222222,9.374467375,8.386047928
0.100694444,9.375407121,8.407714595
0.104166667,9.375939564,8.431047928
0.107638889,9.376412309,8.454381261
0.111111111,9.376705469,8.472714595
0.114583333,9.377299639,8.491047928
0.118055556,9.377186092,8.507714595
0.121527778,9.376635809,8.521047928
0.125,9.375976001,8.537714595
0.128472222,9.375209802,8.544381261
0.131944444,9.374562956,8.564381261
0.135416667,9.374104696,8.576047928
0.138888889,9.37324169,8.597714595
0.142361111,9.372151362,8.612714595
0.145833333,9.371172013,8.622714595
0.149305556,9.369964903,8.646047928
0.152777778,9.368287065,8.666047928
0.15625,9.36674682,8.689381261
0.159722222,9.364741263,8.706047928
0.163194444,9.362626968,8.719381261
0.166666667,9.360041539,8.724381261
0.170138889,9.357390618,8.729381261
0.173611111,9.354375545,8.709381261
0.177083333,9.350577485,8.707714595
0.180555556,9.346771666,8.736047928
0.184027778,9.342357558,8.757714595
0.1875,9.337784966,8.772714595
0.190972222,9.333082076,8.787714595
0.194444444,9.327967283,8.799381261
0.197916667,9.322562006,8.799381261
0.201388889,9.317339614,8.801047928
0.204861111,9.311870369,8.804381261
0.208333333,9.30607683,8.804381261
0.211805556,9.300346307,8.809381261
0.215277778,9.294552104,8.809381261
0.21875,9.288589801,8.802714595
