sort_number,site,Genus_species,Family,growthform,height,Country,Site,lat,long,entered.by,alt,temp,isotherm,rain,LAI,NPP,hemisphere
1402,193,Acer_macryophyllum,Sapindaceae,Tree,28,USA,Oregon - McDun,44.6,-123.334,Angela,179,10.8,4.4,1208,2.51,572,1
25246,103,Quararibea_cordata,Malvaceae,Tree,26.6,Peru,Manu,12.183,-70.55,Angela,386,24.5,7.4,3015,4.26,1405,-1
11648,54,Eragrostis_dielsii,Poaceae,Herb,0.3,Australia,Central Australia,23.8,133.833,Michelle,553,20.9,4.8,278,1.32,756,-1
8168,144,Cistus_salvifolius,Cistaceae,Shrub,1.6,Israel,Hanadiv,32.555,34.938,Angela,115,19.9,4.4,598,1.01,359,1
22422,178,Phlox_bifida,Polemoniaceae,Herb,0.2,USA,Indiana Dunes,41.617,-86.95,Michelle,200,9.7,2.8,976,3.26,1131,1
15925,59,Homalium_betulifolium,Salicaceae,Shrub,1.7,New Caledonia,NA,21.5,165.5,Laura,95,22.6,5.4,1387,6.99,1552,-1
25151,27,Pultenaea_microphylla,Fabaceae - P,Shrub,0.5,Australia,"Kuringai Chase, Sydney",33.65,151.2,Michelle,157,16.8,4.8,1283,4.14,1563,-1
26007,118,Rhizophora_mucronata,Rhizophoraceae,Tree,10,NA,Marshall Islands,9,168,Laura,2,27.7,8.8,2585,NA,NA,1
6597,154,Carya_ovata,Juglandaceae,Tree,40,USA,Colorado,35.8,-89.9,Angela,71,15.5,3.2,1262,3.14,1266,1
16908,106,Ischaemum_nativitatis,Poaceae,Herb,0.5,Australia,Christmas Island,10.417,105.667,Laura,2,26.4,7.4,1704,4.51,2296,-1
4610,201,Betula_nana,Betulaceae,Shrub,0.55,Estonia,NA,58.5,25,Angela,28,5.4,2.1,664,3.07,536,1
1593,86,Acmena_graveolens,Myrtaceae,Tree,32,Australia,Cairns - Daintree canopy crane,16.103,145.446,Angela,263,25.2,5.8,2087,4.04,908,-1
22359,69,Phaleria_ixoroides,Thymelaeaceae,Tree,5,Fiji,Viti Levu,17.8,178,Laura,1108,19.3,5.8,3191,4.26,1795,-1
24493,123,Premna_serratifolia,Lamiaceae,Shrub/Tree,7,Micronesia,Yap,9.5,138.167,Laura,15,27.2,9.1,3031,NA,NA,1
